2025-02-28 20:30:53,469 - INFO - Starting arbitrage program
2025-02-28 20:40:36,453 - INFO - Shutdown initiated, cancelling tasks...
2025-02-28 20:42:05,687 - INFO - Shutdown initiated, cancelling tasks...
2025-02-28 20:42:08,695 - INFO - Shutdown initiated, cancelling tasks...
2025-02-28 20:42:11,137 - INFO - Shutdown initiated, cancelling tasks...
2025-02-28 20:42:11,716 - INFO - Shutdown initiated, cancelling tasks...
2025-02-28 20:42:12,100 - INFO - Shutdown initiated, cancelling tasks...
2025-02-28 20:42:12,335 - INFO - Shutdown initiated, cancelling tasks...
2025-02-28 20:42:12,497 - INFO - Shutdown initiated, cancelling tasks...
2025-02-28 20:42:12,652 - INFO - Shutdown initiated, cancelling tasks...
2025-02-28 20:42:12,829 - INFO - Shutdown initiated, cancelling tasks...
2025-02-28 20:42:12,973 - INFO - Shutdown initiated, cancelling tasks...
2025-02-28 20:42:13,161 - INFO - Shutdown initiated, cancelling tasks...
2025-02-28 20:42:13,340 - INFO - Shutdown initiated, cancelling tasks...
