2025-02-15 11:26:00,527 - INFO - binance-kucoin - Starting arbitrage strategy for 321 assets.
2025-02-15 11:26:00,528 - INFO - binance-kucoin - Checking arbitrage for: SYS/USDT (binance), SYS/USDT (kucoin)
2025-02-15 11:26:00,528 - INFO - binance-bitget - Starting arbitrage strategy for 341 assets.
2025-02-15 11:26:00,528 - INFO - binance-bitget - Checking arbitrage for: SYS/USDT (binance), SYS/USDT (bitget)
2025-02-15 11:26:00,529 - INFO - binance-bitstamp - Starting arbitrage strategy for 4 assets.
2025-02-15 11:26:00,529 - INFO - binance-bitstamp - Checking arbitrage for: ETH/USDT (binance), ETH/USDT (bitstamp)
2025-02-15 11:26:00,529 - INFO - kucoin-bitget - Starting arbitrage strategy for 494 assets.
2025-02-15 11:26:00,530 - INFO - kucoin-bitget - Checking arbitrage for: KAS/USDT (kucoin), KAS/USDT (bitget)
2025-02-15 11:26:00,530 - INFO - kucoin-bitstamp - Starting arbitrage strategy for 4 assets.
2025-02-15 11:26:00,530 - INFO - kucoin-bitstamp - Checking arbitrage for: ETH/USDT (kucoin), ETH/USDT (bitstamp)
2025-02-15 11:26:00,530 - INFO - bitget-bitstamp - Starting arbitrage strategy for 4 assets.
2025-02-15 11:26:00,531 - INFO - bitget-bitstamp - Checking arbitrage for: ETH/USDT (bitget), ETH/USDT (bitstamp)
2025-02-15 11:26:06,314 - INFO - kucoin-bitget - Checking arbitrage for: SYS/USDT (kucoin), SYS/USDT (bitget)
2025-02-15 11:26:06,464 - INFO - bitget-bitstamp - Checking arbitrage for: USDC/USDT (bitget), USDC/USDT (bitstamp)
2025-02-15 11:26:06,512 - INFO - kucoin-bitstamp - Checking arbitrage for: USDC/USDT (kucoin), USDC/USDT (bitstamp)
2025-02-15 11:26:06,601 - INFO - binance-bitstamp - Checking arbitrage for: USDC/USDT (binance), USDC/USDT (bitstamp)
2025-02-15 11:26:06,618 - INFO - binance-kucoin - Checking arbitrage for: SYN/USDT (binance), SYN/USDT (kucoin)
2025-02-15 11:26:06,621 - INFO - binance-bitget - Checking arbitrage for: SYN/USDT (binance), SYN/USDT (bitget)
2025-02-15 11:26:06,885 - INFO - bitget-bitstamp - Checking arbitrage for: XRP/USDT (bitget), XRP/USDT (bitstamp)
2025-02-15 11:26:07,018 - INFO - binance-bitstamp - Checking arbitrage for: XRP/USDT (binance), XRP/USDT (bitstamp)
2025-02-15 11:26:07,154 - INFO - kucoin-bitget - Checking arbitrage for: SYN/USDT (kucoin), SYN/USDT (bitget)
2025-02-15 11:26:07,240 - INFO - kucoin-bitstamp - Checking arbitrage for: XRP/USDT (kucoin), XRP/USDT (bitstamp)
2025-02-15 11:26:07,271 - INFO - binance-bitget - Checking arbitrage for: BSV/USDT (binance), BSV/USDT (bitget)
2025-02-15 11:26:07,406 - INFO - bitget-bitstamp - Checking arbitrage for: BTC/USDT (bitget), BTC/USDT (bitstamp)
2025-02-15 11:26:07,415 - INFO - binance-kucoin - Checking arbitrage for: BSV/USDT (binance), BSV/USDT (kucoin)
2025-02-15 11:26:07,605 - INFO - binance-bitstamp - Checking arbitrage for: BTC/USDT (binance), BTC/USDT (bitstamp)
2025-02-15 11:26:07,892 - WARNING - binance-bitget - Ticker price missing for {'binance': 'BSV/USDT', 'bitget': 'BSV/USDT'}. Skipping.
2025-02-15 11:26:07,893 - INFO - binance-bitget - Checking arbitrage for: REN/USDT (binance), REN/USDT (bitget)
2025-02-15 11:26:08,035 - INFO - kucoin-bitstamp - Checking arbitrage for: BTC/USDT (kucoin), BTC/USDT (bitstamp)
2025-02-15 11:26:08,044 - INFO - kucoin-bitget - Checking arbitrage for: BSV/USDT (kucoin), BSV/USDT (bitget)
2025-02-15 11:26:08,228 - WARNING - binance-kucoin - Ticker price missing for {'binance': 'BSV/USDT', 'kucoin': 'BSV/USDT'}. Skipping.
2025-02-15 11:26:08,235 - INFO - binance-kucoin - Checking arbitrage for: REN/USDT (binance), REN/USDT (kucoin)
2025-02-15 11:26:08,508 - WARNING - binance-bitget - Ticker price missing for {'binance': 'REN/USDT', 'bitget': 'REN/USDT'}. Skipping.
2025-02-15 11:26:08,509 - INFO - binance-bitget - Checking arbitrage for: QUICK/USDT (binance), QUICK/USDT (bitget)
2025-02-15 11:26:09,052 - WARNING - binance-kucoin - Ticker price missing for {'binance': 'REN/USDT', 'kucoin': 'REN/USDT'}. Skipping.
2025-02-15 11:26:09,054 - INFO - binance-kucoin - Checking arbitrage for: QUICK/USDT (binance), QUICK/USDT (kucoin)
2025-02-15 11:26:09,114 - INFO - kucoin-bitget - Checking arbitrage for: REN/USDT (kucoin), REN/USDT (bitget)
2025-02-15 11:26:09,115 - INFO - binance-bitstamp - Checking arbitrage for: ETH/USDT (binance), ETH/USDT (bitstamp)
2025-02-15 11:26:09,170 - INFO - bitget-bitstamp - Checking arbitrage for: ETH/USDT (bitget), ETH/USDT (bitstamp)
2025-02-15 11:26:09,181 - INFO - binance-bitget - Checking arbitrage for: WOO/USDT (binance), WOO/USDT (bitget)
2025-02-15 11:26:09,665 - INFO - kucoin-bitstamp - Checking arbitrage for: ETH/USDT (kucoin), ETH/USDT (bitstamp)
2025-02-15 11:26:09,783 - INFO - bitget-bitstamp - Checking arbitrage for: USDC/USDT (bitget), USDC/USDT (bitstamp)
2025-02-15 11:26:09,814 - INFO - binance-bitget - Checking arbitrage for: MTL/USDT (binance), MTL/USDT (bitget)
2025-02-15 11:26:09,851 - INFO - binance-kucoin - Checking arbitrage for: WOO/USDT (binance), WOO/USDT (kucoin)
