2025-03-10 05:34:10,700 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'WEMIX/USDT', 'bitget': 'WEMIX/USDT'} | Buy (BitgetExchange eff.): 0.494540 | Sell (KucoinExchange eff.): 0.612043 | Ticker Profit: 25.43% | Liquidity Profit: 23.76% | Profit (USDT): 47.737463 | Invested (USDT): 200.913196 | Qty Purchased: 406.2631 | Liquidity Info: Buy Levels: [[0.4918, 2.2603], [0.492, 10.401], [0.4937, 149.0], [0.4938, 10.367], [0.4943, 26.412], [0.4944, 1011.32], [0.4947, 1010.71], [0.4951, 51.0], [0.4956, 33.962], [0.4957, 113.197]]; Sell Levels: [[0.6135, 181.8695], [0.6134, 42.7601], [0.6127, 0.1856], [0.6112, 7.7524], [0.6108, 933.6568], [0.6103, 45.645], [0.6101, 0.8917], [0.61, 1.2566], [0.6095, 0.3356], [0.6089, 0.2889]] | Extra: Weighted Buy Price: 0.494046, Weighted Sell Price: 0.612656; Breakdown Buy: [(0.4918, 2.2603), (0.492, 10.401), (0.4937, 149.0), (0.4938, 10.367), (0.4943, 26.412), (0.4944, 207.82281468117088)]; Breakdown Sell: [(0.6135, 181.8695), (0.6134, 42.7601), (0.6127, 0.1856), (0.6112, 7.7524), (0.6108, 93.75709470285284)]; 
2025-03-10 05:36:33,684 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'BROCCOLI/USDT', 'bitget': 'BROCCOLI/USDT'} | Buy (BitgetExchange eff.): 0.036987 | Sell (KucoinExchange eff.): 0.048290 | Ticker Profit: 31.91% | Liquidity Profit: 30.56% | Profit (USDT): 61.202523 | Invested (USDT): 200.271499 | Qty Purchased: 5414.6396 | Liquidity Info: Buy Levels: [[0.0369, 2702.36], [0.037, 53550.88], [0.0371, 50180.95], [0.0372, 84802.62], [0.0373, 144816.67], [0.0374, 49402.94], [0.0375, 21878.54], [0.0376, 20297.7], [0.0377, 22202.07], [0.0378, 20297.7]]; Sell Levels: [[0.04835, 1440.5], [0.04834, 654.1], [0.04833, 9179.4], [0.04831, 5268.1], [0.04822, 5268.1], [0.04805, 152.5], [0.04804, 5268.1], [0.04796, 5268.1], [0.04786, 5268.1], [0.04771, 5268.1]] | Extra: Weighted Buy Price: 0.036950, Weighted Sell Price: 0.048339; Breakdown Buy: [(0.0369, 2702.36), (0.037, 2712.279560981025)]; Breakdown Sell: [(0.04835, 1440.5), (0.04834, 654.1), (0.04833, 2046.0452988666025)]; 
2025-03-10 05:42:27,991 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'WEMIX/USDT', 'bitget': 'WEMIX/USDT'} | Buy (BitgetExchange eff.): 0.494862 | Sell (KucoinExchange eff.): 0.610188 | Ticker Profit: 24.50% | Liquidity Profit: 23.30% | Profit (USDT): 46.833616 | Invested (USDT): 200.962480 | Qty Purchased: 406.0980 | Liquidity Info: Buy Levels: [[0.492, 10.56], [0.4937, 149.0], [0.4938, 10.528], [0.4943, 26.802], [0.495, 1010.1], [0.4951, 51.0], [0.4954, 1009.28], [0.4956, 34.464], [0.4957, 114.883], [0.4958, 163.886]]; Sell Levels: [[0.6134, 37.949], [0.6127, 0.1856], [0.6112, 7.7524], [0.6104, 182.3454], [0.6103, 45.645], [0.6101, 0.8917], [0.61, 1.2566], [0.6095, 0.3356], [0.6089, 0.2889], [0.6088, 2.0437]] | Extra: Weighted Buy Price: 0.494368, Weighted Sell Price: 0.610799; Breakdown Buy: [(0.492, 10.56), (0.4937, 149.0), (0.4938, 10.528), (0.4943, 26.802), (0.495, 209.20796707357692)]; Breakdown Sell: [(0.6134, 37.949), (0.6127, 0.1856), (0.6112, 7.7524), (0.6104, 182.3454), (0.6103, 45.645), (0.6101, 0.8917), (0.61, 1.2566), (0.6095, 0.3356), (0.6089, 0.2889), (0.6088, 2.0437)]; 
2025-03-10 05:44:48,278 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'BROCCOLI/USDT', 'bitget': 'BROCCOLI/USDT'} | Buy (BitgetExchange eff.): 0.037537 | Sell (KucoinExchange eff.): 0.048362 | Ticker Profit: 29.58% | Liquidity Profit: 28.84% | Profit (USDT): 57.673917 | Invested (USDT): 200.000000 | Qty Purchased: 5328.0053 | Liquidity Info: Buy Levels: [[0.0375, 15208.9], [0.0376, 59704.49], [0.0377, 109979.3], [0.0378, 153444.97], [0.0379, 56631.83], [0.038, 21389.58], [0.0381, 31704.42], [0.0382, 556.78], [0.0383, 2312.05], [0.0384, 5798.96]]; Sell Levels: [[0.04842, 1100.0], [0.04841, 2176.1], [0.0484, 5418.3], [0.04831, 5268.1], [0.04822, 5268.1], [0.04808, 27.5], [0.04805, 152.5], [0.04804, 5268.1], [0.04797, 198.7], [0.04796, 5268.1]] | Extra: Weighted Buy Price: 0.037500, Weighted Sell Price: 0.048411; Breakdown Buy: [(0.0375, 5328.005328005329)]; Breakdown Sell: [(0.04842, 1100.0), (0.04841, 2176.1), (0.0484, 858.559235857088)]; 
2025-03-10 05:50:35,392 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'WEMIX/USDT', 'bitget': 'WEMIX/USDT'} | Buy (BitgetExchange eff.): 0.494471 | Sell (KucoinExchange eff.): 0.609653 | Ticker Profit: 24.19% | Liquidity Profit: 23.29% | Profit (USDT): 46.775304 | Invested (USDT): 200.803609 | Qty Purchased: 406.0980 | Liquidity Info: Buy Levels: [[0.492, 10.587], [0.4932, 149.0], [0.4937, 13.84], [0.4938, 51.0], [0.4943, 26.887], [0.4944, 59.9443], [0.4951, 49.994], [0.4953, 61.35], [0.4956, 34.565], [0.4957, 115.213]]; Sell Levels: [[0.6112, 7.7524], [0.6103, 227.9904], [0.6101, 0.8917], [0.61, 1.2566], [0.6095, 0.3356], [0.6089, 0.2889], [0.6088, 2.0437], [0.6087, 6.1082], [0.6085, 0.6866], [0.608, 0.3177]] | Extra: Weighted Buy Price: 0.493977, Weighted Sell Price: 0.610263; Breakdown Buy: [(0.492, 10.587), (0.4932, 149.0), (0.4937, 13.84), (0.4938, 51.0), (0.4943, 26.887), (0.4944, 59.9443), (0.4951, 49.994), (0.4953, 44.84566707357692)]; Breakdown Sell: [(0.6112, 7.7524), (0.6103, 227.9904), (0.6101, 0.8917), (0.61, 1.2566), (0.6095, 0.3356), (0.6089, 0.2889), (0.6088, 2.0437), (0.6087, 6.1082), (0.6085, 0.6866), (0.608, 0.3177)]; 
2025-03-10 05:52:56,130 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'BROCCOLI/USDT', 'bitget': 'BROCCOLI/USDT'} | Buy (BitgetExchange eff.): 0.037237 | Sell (KucoinExchange eff.): 0.048434 | Ticker Profit: 31.70% | Liquidity Profit: 30.07% | Profit (USDT): 60.140365 | Invested (USDT): 200.000000 | Qty Purchased: 5370.9731 | Liquidity Info: Buy Levels: [[0.0372, 48544.13], [0.0373, 36141.63], [0.0374, 66770.24], [0.0375, 83767.45], [0.0376, 112796.87], [0.0377, 25169.3], [0.0378, 20297.7], [0.0379, 20440.27], [0.038, 23504.19], [0.0381, 31704.42]]; Sell Levels: [[0.0485, 1053.7], [0.04848, 2195.6], [0.04847, 5268.1], [0.0484, 150.2], [0.04829, 5268.1], [0.0482, 5268.1], [0.04813, 198.7], [0.04812, 5268.1], [0.04808, 27.5], [0.04805, 152.5]] | Extra: Weighted Buy Price: 0.037200, Weighted Sell Price: 0.048483; Breakdown Buy: [(0.0372, 5370.973112908598)]; Breakdown Sell: [(0.0485, 1053.7), (0.04848, 2195.6), (0.04847, 878.5391793855711)]; 
2025-03-10 05:58:00,412 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'PZP/USDT', 'bitget': 'PZP/USDT'} | Buy (KucoinExchange eff.): 0.027325 | Sell (BitgetExchange eff.): 0.028771 | Ticker Profit: 7.79% | Liquidity Profit: 5.29% | Profit (USDT): 10.636550 | Invested (USDT): 200.938404 | Qty Purchased: 7353.7063 | Liquidity Info: Buy Levels: [[0.02717, 1137.7], [0.02722, 1213.5], [0.02731, 1526.1], [0.02733, 727.2], [0.02735, 500.0], [0.02736, 1513.3], [0.0274, 1709.4], [0.02744, 1933.0], [0.02747, 550.0], [0.02749, 1892.5]]; Sell Levels: [[0.0288, 20425.75], [0.0287, 11904.77], [0.0286, 13604.83], [0.0284, 33379.3], [0.0283, 19768.07], [0.0282, 21447.79], [0.0281, 23667.34], [0.028, 22418.21], [0.0279, 23883.95], [0.0278, 26484.6]] | Extra: Weighted Buy Price: 0.027297, Weighted Sell Price: 0.028800; Breakdown Buy: [(0.02717, 1137.7), (0.02722, 1213.5), (0.02731, 1526.1), (0.02733, 727.2), (0.02735, 500.0), (0.02736, 1513.3), (0.0274, 735.906286352588)]; Breakdown Sell: [(0.0288, 6951.395840284729)]; 
2025-03-10 05:58:49,534 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'WEMIX/USDT', 'bitget': 'WEMIX/USDT'} | Buy (BitgetExchange eff.): 0.493283 | Sell (KucoinExchange eff.): 0.610106 | Ticker Profit: 25.13% | Liquidity Profit: 23.68% | Profit (USDT): 47.431940 | Invested (USDT): 200.280387 | Qty Purchased: 406.0154 | Liquidity Info: Buy Levels: [[0.4921, 149.0], [0.4925, 20.345], [0.4928, 52.372], [0.4929, 35.35], [0.493, 15.2], [0.4935, 72.745], [0.4936, 134.375], [0.4937, 134.375], [0.4938, 134.375], [0.4943, 88.746]]; Sell Levels: [[0.6116, 23.2], [0.6113, 77.2501], [0.6112, 7.7524], [0.6104, 244.7343], [0.6103, 45.645], [0.6101, 0.8917], [0.61, 1.2566], [0.6095, 0.3356], [0.6089, 0.2889], [0.6088, 2.0437]] | Extra: Weighted Buy Price: 0.492790, Weighted Sell Price: 0.610716; Breakdown Buy: [(0.4921, 149.0), (0.4925, 20.345), (0.4928, 52.372), (0.4929, 35.35), (0.493, 15.2), (0.4935, 72.745), (0.4936, 61.00344360942867)]; Breakdown Sell: [(0.6116, 23.2), (0.6113, 77.2501), (0.6112, 7.7524), (0.6104, 219.1359568348597)]; 
2025-03-10 06:01:12,476 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'BROCCOLI/USDT', 'bitget': 'BROCCOLI/USDT'} | Buy (BitgetExchange eff.): 0.036737 | Sell (KucoinExchange eff.): 0.048766 | Ticker Profit: 33.48% | Liquidity Profit: 32.74% | Profit (USDT): 65.489992 | Invested (USDT): 200.000000 | Qty Purchased: 5444.1471 | Liquidity Info: Buy Levels: [[0.0367, 139060.05], [0.0368, 49371.15], [0.0369, 56121.61], [0.037, 111747.77], [0.0371, 25076.79], [0.0372, 22776.57], [0.0373, 20297.7], [0.0374, 20340.25], [0.0375, 20792.74], [0.0376, 28752.48]]; Sell Levels: [[0.04883, 1013.9], [0.04881, 5268.1], [0.04875, 152.3], [0.04863, 5268.1], [0.04855, 5268.1], [0.04848, 198.7], [0.04847, 5268.1], [0.0484, 2326.7], [0.04839, 5268.1], [0.04829, 5268.1]] | Extra: Weighted Buy Price: 0.036700, Weighted Sell Price: 0.048815; Breakdown Buy: [(0.0367, 5444.1471335204305)]; Breakdown Sell: [(0.04883, 1013.9), (0.04881, 3086.042662301868)]; 
2025-03-10 06:07:00,626 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'WEMIX/USDT', 'bitget': 'WEMIX/USDT'} | Buy (BitgetExchange eff.): 0.494314 | Sell (KucoinExchange eff.): 0.612949 | Ticker Profit: 24.98% | Liquidity Profit: 24.00% | Profit (USDT): 48.099080 | Invested (USDT): 200.414031 | Qty Purchased: 405.4387 | Liquidity Info: Buy Levels: [[0.4928, 149.0], [0.4939, 12.554], [0.494, 52.372], [0.4942, 16.875], [0.4945, 10.116], [0.4946, 168.75], [0.4952, 40.555], [0.4953, 84.375], [0.4954, 10.098], [0.4955, 48.56]]; Sell Levels: [[0.6141, 244.7343], [0.6123, 23.2], [0.6118, 932.1307], [0.6112, 7.7524], [0.6103, 45.645], [0.6101, 0.8917], [0.61, 1.2566], [0.6095, 0.3356], [0.6089, 0.2889], [0.6088, 2.0437]] | Extra: Weighted Buy Price: 0.493820, Weighted Sell Price: 0.613562; Breakdown Buy: [(0.4928, 149.0), (0.4939, 12.554), (0.494, 52.372), (0.4942, 16.875), (0.4945, 10.116), (0.4946, 164.52171712702886)]; Breakdown Sell: [(0.6141, 244.7343), (0.6123, 23.2), (0.6118, 58.0715625634265)]; 
2025-03-10 06:09:18,014 - INFO - Pair: kucoin-bitget | Asset: {'kucoin': 'BROCCOLI/USDT', 'bitget': 'BROCCOLI/USDT'} | Buy (BitgetExchange eff.): 0.036536 | Sell (KucoinExchange eff.): 0.049064 | Ticker Profit: 35.66% | Liquidity Profit: 34.29% | Profit (USDT): 68.573121 | Invested (USDT): 200.000000 | Qty Purchased: 5473.9781 | Liquidity Info: Buy Levels: [[0.0365, 80331.57], [0.0366, 54777.88], [0.0367, 88237.7], [0.0368, 22197.25], [0.0369, 59407.89], [0.037, 42866.19], [0.0371, 25773.5], [0.0372, 21313.09], [0.0373, 20297.7], [0.0374, 20829.36]]; Sell Levels: [[0.04912, 1109.4], [0.04911, 5418.2], [0.04901, 2149.4], [0.049, 5268.1], [0.0489, 5268.1], [0.04875, 152.3], [0.04874, 27.5], [0.04872, 5268.1], [0.04869, 198.7], [0.04864, 5268.1]] | Extra: Weighted Buy Price: 0.036500, Weighted Sell Price: 0.049113; Breakdown Buy: [(0.0365, 5473.978076717804)]; Breakdown Sell: [(0.04912, 1109.4), (0.04911, 2966.3369747597762)]; 
